"Date","Open","High","Low","Close"
"02 Aug 2018","14322.05","14332.15","14119.00","14204.80"
"01 Aug 2018","14203.20","14297.50","14148.45","14205.90"
"31 Jul 2018","13904.35","14176.75","13873.55","14151.80"
"30 Jul 2018","13942.75","13964.25","13787.20","13875.25"
"27 Jul 2018","13824.00","13914.40","13809.15","13882.20"
"26 Jul 2018","13706.00","13788.50","13690.10","13764.55"
"25 Jul 2018","13689.45","13785.65","13652.20","13682.70"
"24 Jul 2018","13562.80","13628.20","13503.75","13606.00"
"23 Jul 2018","13533.30","13556.75","13409.30","13503.85"
"20 Jul 2018","13239.45","13483.25","13207.45","13469.75"
"19 Jul 2018","13342.25","13375.45","13114.90","13232.65"
"18 Jul 2018","13433.40","13488.70","13242.55","13325.40"
"17 Jul 2018","13039.30","13316.60","12958.85","13298.45"
"16 Jul 2018","13410.60","13418.80","13078.65","13094.75"
"13 Jul 2018","13605.30","13613.20","13380.60","13409.45"
"12 Jul 2018","13719.85","13764.20","13557.05","13618.35"
"11 Jul 2018","13670.30","13709.55","13569.40","13653.90"
"10 Jul 2018","13609.40","13700.40","13601.95","13647.60"
"09 Jul 2018","13298.90","13540.40","13274.95","13496.35"
"06 Jul 2018","13151.75","13243.30","13125.15","13163.75"
"05 Jul 2018","13294.60","13391.60","13116.50","13132.40"
"04 Jul 2018","13178.65","13379.70","13123.00","13336.30"
"03 Jul 2018","12927.85","13190.75","12825.00","13175.50"
"02 Jul 2018","13012.30","13050.65","12809.80","12960.30"
"29 Jun 2018","12667.60","12909.25","12667.05","12897.05"
"28 Jun 2018","12749.45","12752.25","12519.55","12556.00"
"27 Jun 2018","13098.35","13111.35","12708.25","12793.35"
"26 Jun 2018","13105.70","13243.80","13051.20","13098.75"
"25 Jun 2018","13091.70","13255.70","13052.60","13139.35"
"22 Jun 2018","12971.85","13124.25","12907.25","13098.25"
"21 Jun 2018","13204.25","13217.10","12965.45","13007.20"
"20 Jun 2018","13059.15","13171.80","13038.75","13153.30"
"19 Jun 2018","13257.15","13257.80","13015.40","13073.15"
"18 Jun 2018","13396.20","13438.55","13263.00","13311.90"
"15 Jun 2018","13529.85","13607.70","13359.15","13447.70"
"14 Jun 2018","13573.60","13595.15","13491.45","13573.65"
"13 Jun 2018","13565.10","13611.45","13482.95","13537.75"
"12 Jun 2018","13450.10","13524.60","13421.45","13498.10"
"11 Jun 2018","13378.95","13550.90","13362.25","13381.90"
"08 Jun 2018","13163.00","13353.15","13061.60","13321.65"
"07 Jun 2018","12952.10","13227.15","12933.65","13192.45"
